1997-012D,1997,1997-008C,1997,1997-008C,1997
1997-051AF,1997,1997-020F,1997,1997-011A,1997
1997-051AL,1997,1997-025B,1997,1997-012A,1997
1997-051AS,1997,1997-025C,1997,1997-012D,1997
1997-051AT,1997,1997-047B,1997,1997-019A,1997
1997-051AU,1997,1997-050B,1997,1997-020B,1997
1997-051BF,1997,1997-065C,1997,1997-020D,1997
1997-051CC,1997,1998-002B,1998,1997-020E,1997
1997-051CE,1997,1998-002C,1998,1997-020F,1997
1997-051CX,1997,1998-005B,1998,1997-025B,1997
1997-051L,1997,1998-007D,1998,1997-025C,1997
1997-051N,1997,1998-020B,1998,1997-026A,1997
1997-051P,1997,1998-035B,1998,1997-030A,1997
1997-051Q,1997,1998-035C,1998,1997-030F,1997
1997-051T,1997,1998-053K,1998,1997-030G,1997
1998-002E,1998,1998-055B,1998,1997-034B,1997
1998-007E,1998,1998-058B,1998,1997-034C,1997
1999-017E,1999,1998-060B,1998,1997-034E,1997
1999-017H,1999,1998-061C,1998,1997-035A,1997
1999-067D,1999,1998-068C,1998,1997-037A,1997
1999-070D,1999,1998-071B,1998,1997-040A,1997
2000-017D,2000,1999-001B,1999,1997-043A,1997
2000-017E,2000,1999-003B,1999,1997-043E,1997
2000-017F,2000,1999-008D,1999,1997-046A,1997
2000-055E,2000,1999-017C,1999,1997-047A,1997
2000-055F,2000,1999-017D,1999,1997-047B,1997
2000-055H,2000,1999-023B,1999,1997-050B,1997
2000-075E,2000,1999-031E,1999,1997-051A,1997
2001-055D,2001,1999-040C,1999,1997-051AF,1997
2003-048E,2003,1999-040D,1999,1997-051AL,1997
2006-016D,2006,1999-041E,1999,1997-051AS,1997
2006-050BV,2006,1999-063B,1999,1997-051AT,1997
2009-057E,2009,1999-070C,1999,1997-051AU,1997
2013-055AC,2013,2000-001B,2000,1997-051BF,1997
2014-015E,2014,2000-004F,2000,1997-051C,1997
2014-055AB,2014,2000-007B,2000,1997-051CC,1997
2014-055AK,2014,2000-014B,2000,1997-051CE,1997
2014-055BD,2014,2000-017C,2000,1997-051CX,1997
2014-055BH,2014,2000-024C,2000,1997-051E,1997
2014-055BS,2014,2000-030B,2000,1997-051L,1997
2014-055BV,2014,2000-034B,2000,1997-051N,1997
2014-055BZ,2014,2000-047B,2000,1997-051P,1997
2014-055J,2014,2000-061B,2000,1997-051Q,1997
2014-055W,2014,2000-075D,2000,1997-051T,1997
2015-044C,2015,2000-080B,2000,1997-052B,1997
2017-050B,2017,2001-026B,2001,1997-056C,1997
2017-068G,2017,2001-033C,2001,1997-059A,1997
2018-079AG,2018,2002-004B,2002,1997-065A,1997
2018-079C,2018,2002-011B,2002,1997-065C,1997
2018-079CK,2018,2002-038B,2002,1997-067A,1997
2018-079CR,2018,2002-051B,2002,1997-069D,1997
2018-079DD,2018,2003-004B,2003,1997-069E,1997
2018-079DL,2018,2003-005C,2003,1997-077A,1997
2018-079DY,2018,2003-008B,2003,1997-077B,1997
2018-079E,2018,2003-008C,2003,1997-078A,1997
2018-079FD,2018,2003-012B,2003,1997-082A,1997
2018-079FE,2018,2003-017B,2003,1997-082B,1997
